bloco,chave,qtd,pct,variantes
B1_BRUTO,Operations Leader,1,,
B1_BRUTO,Gerente de Projetos / Gerente de Contratos ...,1,,
B1_BRUTO,Diretor Terminal Portuário de Alcântara,1,,
B1_BRUTO,Diretor de Compras América Latina,1,,
B1_BRUTO,Coordenador de Engenharia — Aegea Saneamento,1,,
B1_BRUTO,Coordenador de projetos,1,,
B1_BRUTO,Supply Chain Optimization,1,,
B1_BRUTO,Project Manager / Gerente de Engenharia / Infra ...,1,,
B1_BRUTO,B2B & Capex,1,,
B1_BRUTO,COMPRADOR,1,,
B1_BRUTO,Projetista no Grupo Unipar,1,,
B1_BRUTO,Gerente Compras / Comercial na Toyota ...,1,,
B1_BRUTO,Gerente de Suprimentos / Compras / Construção Civil,1,,
B2_NORM,REGIONAL LOGISTICS DIRECTOR,514,14.22,1
B2_NORM,DIRETOR,443,12.26,2
B2_NORM,GERENTE DE COMPRAS,230,6.36,4
B2_NORM,GERENTE DE SUPRIMENTOS,176,4.87,10
B2_NORM,ENGENHEIRO DE PROJETOS,157,4.34,4
B2_NORM,COORDENADORA DE SUPRIMENTOS,109,3.02,1
B2_NORM,PROCUREMENT DIRECTOR,91,2.52,1
B2_NORM,DIRETOR COMERCIAL,80,2.21,2
B2_NORM,PRESIDENTE,74,2.05,1
B2_NORM,ADMINISTRADOR,72,1.99,1
B2_NORM,RIO+ SANEAMENTO BL3 S.A,65,1.80,1
B2_NORM,SOCIO-ADMINISTRADOR,62,1.72,1
B2_NORM,SUPPLY CHAIN,59,1.63,4
B2_NORM,GERENTE DE PROJETOS,57,1.58,8
B2_NORM,STRATEGIC SOURCING & SUPPLY CHAIN,56,1.55,1
B2_NORM,DIRETOR DE PROJETOS,51,1.41,2
B2_NORM,COMPRAS,47,1.30,1
B2_NORM,COORDENADOR DE ENGENHARIA,42,1.16,1
B2_NORM,PROCUREMENT MANAGER,41,1.13,9
B2_NORM,GERENTE DE MARKETING CEMIG,40,1.11,1
B2_NORM,GERENTE DE TECNOLOGIA,38,1.05,1
B2_NORM,ENGENHEIRO CIVIL,34,0.94,4
B2_NORM,GERENTE DE ENGENHARIA,33,0.91,10
B2_NORM,SUPPLY CHAIN MANAGER,30,0.83,3
B2_NORM,GERENTE DE MANUTENCAO,28,0.77,2
B2_NORM,ENGENHARIA,23,0.64,1
B2_NORM,COMPRADOR,21,0.58,3
B2_NORM,ENGENHARIA CIVIL,21,0.58,2
B2_NORM,PARTNER,18,0.50,1
B2_NORM,SUPRIMENTOS,18,0.50,1
B2_NORM,HEAD DE SUPRIMENTOS,17,0.47,1
B2_NORM,ENGENHARIA DE PROJETOS,16,0.44,1
B2_NORM,DIRETOR EXECUTIVO DE REGULACAO,16,0.44,1
B2_NORM,HEAD OF PROCUREMENT,15,0.42,5
B2_NORM,PURCHASING MANAGER,15,0.42,1
B2_NORM,GERENTE GERAL DE ENGENHARIA,14,0.39,1
B2_NORM,COMPRADOR SENIOR,14,0.39,1
B2_NORM,PROJECT MANAGER,14,0.39,2
B2_NORM,DIRETOR DE OPERACOES E MANUTENCAO,14,0.39,1
B2_NORM,GERENTE DE COMPRAS E PLANEJAMENTO,13,0.36,1
B2_NORM,EXECUTIVO DE SUPPLY CHAIN & OPERACOES,12,0.33,1
